# Rime user dictionary
#@/db_name	luwei.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	8531
#@/user_id	win10-olymk
a 	啊	c=119 d=2.01088 t=8531
suo yi shuo 	所以說	c=1 d=0.245367 t=8531
suo you 	所有	c=2 d=1 t=4345
ta 	他	c=7 d=0.241714 t=8531
ta 	她	c=13 d=1.00253 t=5071
ta de 	他的	c=2 d=0.744532 t=8531
ta ma 	他媽	c=2 d=1.05813 t=7634
ta ma de 	他媽的	c=1 d=1 t=6154
ta men 	他們	c=2 d=1.00179 t=3207
ta shuo 	他說	c=1 d=1 t=6674
tai 	太	c=1 d=0.0431711 t=8531
tai 	臺	c=2 d=1 t=7172
tai cai 	臺菜	c=1 d=1 t=5896
tai chun 	太蠢	c=1 d=1 t=3556
tai da 	太大	c=1 d=1 t=1859
tai duo 	太多	c=6 d=1.14241 t=8380
tai duo le 	太多了	c=1 d=1 t=2376
tai fu za 	太複雜	c=1 d=1 t=763
tai guo 	太過	c=0 d=0.0341298 t=8531
tai guo yu 	太過於	c=1 d=0.343009 t=8531
tai hao 	太好	c=1 d=1 t=5831
tai hao le 	太好了	c=1 d=1 t=5930
tai luan 	太亂	c=0 d=0.0211189 t=8531
tai luan le 	太亂了	c=1 d=0.212248 t=8531
tai nan 	太難	c=2 d=0.0219808 t=8531
tai nan le 	太難了	c=2 d=0.22091 t=8531
tai qiang 	太強	c=1 d=1 t=3739
tai qiang le 	太強了	c=1 d=1 t=545
tai tuo ta 	太拖沓	c=1 d=0.433874 t=8531
tai yuan 	太遠	c=0 d=0.0165299 t=8531
tai yuan le 	太遠了	c=1 d=0.166127 t=8531
tai zhong 	太重	c=1 d=1 t=3412
tan 	談	c=1 d=1 t=3619
tan xin 	貪心	c=2 d=1 t=3705
tan xing 	彈性	c=1 d=1 t=580
tan zhen 	探針	c=1 d=1 t=6182
tang zhe 	躺着	c=1 d=0.496585 t=8531
tao bao 	淘寶	c=2 d=1.94649 t=6281
tao qi lai 	套起來	c=1 d=1 t=3122
tao yan 	討厭	c=1 d=1 t=3551
te me 	特麼	c=1 d=1 t=3817
te yi 	特意	c=2 d=1.00001 t=3660
teng xun 	騰訊	c=1 d=1 t=7573
ti 	提	c=0 d=0.1 t=1571
ti chu 	剔除	c=1 d=1 t=4401
ti gong 	提供	c=3 d=2.43437 t=1585
ti huan 	替換	c=3 d=1.00619 t=7197
ti jiao 	提交	c=7 d=1.13581 t=5498
ti jiao le 	提交了	c=2 d=1.00006 t=5049
ti jie 	題解	c=2 d=1.12873 t=913
ti mu 	題目	c=1 d=1 t=3699
ti qu 	提取	c=1 d=1 t=6545
ti shi 	提示	c=2 d=1.57695 t=5486
ti xu qiu 	提需求	c=1 d=1 t=1572
tian 	填	c=2 d=1.00096 t=5296
tian 	天	c=2 d=0.941765 t=8531
tian 	舔	c=2 d=1.81058 t=3644
tian jia 	添加	c=3 d=1.95123 t=8228
tian tian 	天天	c=0 d=0.1 t=970
tian tian chi ji 	天天吃雞	c=1 d=1 t=971
tian wei 	甜味	c=0 d=0.1 t=7445
tiao shi 	調試	c=2 d=0.106459 t=8531
tiao xiu 	調休	c=1 d=1 t=4991
tiao zhuan 	跳轉	c=1 d=1 t=4463
ting 	聽	c=1 d=1 t=4503
ting bu dong 	聽不懂	c=1 d=1 t=5575
ting dong 	聽懂	c=1 d=0.283654 t=8531
ting dun 	停頓	c=1 d=1 t=1869
ting duo 	挺多	c=1 d=1 t=3866
ting guo 	聽過	c=0 d=0.1 t=3137
ting zao 	挺早	c=1 d=0.467666 t=8531
ting zao 	聽早	c=1 d=0.465334 t=8531
tong 	同	c=1 d=1 t=8133
tong bu 	同步	c=2 d=1.00771 t=2218
tong guo 	通過	c=5 d=1.00001 t=8504
tong ji 	統計	c=1 d=1 t=6406
tong li 	同理	c=2 d=1.98511 t=1632
tong pei fu 	通配符	c=2 d=1.25538 t=5852
tong xue 	同學	c=1 d=1 t=2194
tong yang 	同樣	c=1 d=0.185444 t=8531
tong yi 	統一	c=2 d=1.60957 t=2786
tong yi ge 	同一個	c=3 d=1.14776 t=2453
tong zhi 	通知	c=3 d=1 t=4850
tou 	投	c=1 d=1 t=5729
tou dao 	投到	c=1 d=1 t=5597
tou ding 	頭頂	c=1 d=1 t=1281
tou ying yi 	投影儀	c=1 d=1 t=4840
tou zhi 	透支	c=1 d=1 t=5720
tu 	圖	c=5 d=1 t=8515
tu chu 	突出	c=1 d=1 t=6376
tu pian 	圖片	c=5 d=1.00031 t=6952
tu po 	突破	c=2 d=1.97531 t=3160
tu ran 	突然	c=1 d=1 t=2447
tu xiang 	圖像	c=1 d=1 t=4408
tui 	退	c=2 d=1.0703 t=7648
tui chong 	推崇	c=1 d=1 t=996
tui chu 	推出	c=2 d=1 t=7895
tui chu 	退出	c=1 d=1 t=7897
tui fen 	退分	c=3 d=2.18862 t=7415
tui guang 	推廣	c=2 d=1.05393 t=2477
tui guo 	退過	c=1 d=1 t=7141
tui hou 	推後	c=1 d=1 t=4199
tui huan 	退還	c=1 d=1 t=6958
tui jian 	推薦	c=1 d=1 t=7011
tui kuan 	退款	c=11 d=1.91393 t=6778
tui le 	退了	c=1 d=1 t=5308
tuo ta 	拖沓	c=0 d=0.0431711 t=8531
wa 	哇	c=1 d=1 t=5742
wa 	挖	c=1 d=1 t=3497
wai 	外	c=0 d=0.1 t=1104
wai bao 	外包	c=1 d=1 t=6077
wai jian yue shu 	外鍵約束	c=1 d=1 t=1105
wan 	完	c=6 d=1.20485 t=8018
wan 	晚	c=1 d=1 t=8490
wan 	玩	c=9 d=0.922873 t=8531
wan 	萬	c=2 d=1.82283 t=1849
wan bi 	完畢	c=1 d=1 t=5167
wan bu dong 	完不懂	c=1 d=1 t=7675
wan bu guo 	玩不過	c=1 d=1 t=868
wan cheng 	完成	c=13 d=3.59831 t=5177
wan de 	玩的	c=2 d=1.38787 t=8531
wan de hao de 	玩的好的	c=1 d=0.250324 t=8531
wan le 	完了	c=1 d=0.100093 t=8352
wan mei 	完美	c=1 d=1 t=1132
wan quan 	完全	c=4 d=0.117655 t=8531
wan san 	玩散	c=1 d=0.891366 t=8531
wan shan 	完善	c=1 d=1 t=1169
wan she pi 	完蛇皮	c=1 d=1 t=2142
wan shou ji 	玩手機	c=1 d=0.499074 t=8531
wan wu 	萬物	c=1 d=1 t=3904
wan xia qu 	玩下去	c=1 d=0.588605 t=8531
wan yi 	玩意	c=8 d=0.587131 t=8531
wan yi 	萬一	c=1 d=0.197899 t=8531
wan zheng 	完整	c=1 d=0.155673 t=8531
wang 	忘	c=1 d=1 t=7923
wang 	王	c=3 d=2.2914 t=6510
wang 	網	c=1 d=1 t=7683
wang ba 	網吧	c=0 d=0.1 t=6163
wang ji 	忘記	c=2 d=1.00004 t=4098
wang ji le 	網雞肋	c=1 d=1 t=4097
wang jie 	王傑	c=1 d=1.099 t=4096
wang jie le 	王傑了	c=1 d=1 t=4095
wang le 	忘了	c=1 d=1 t=8064
wang luo 	網絡	c=5 d=1.13367 t=8418
wang shang 	往上	c=1 d=1 t=552
wang ye 	網頁	c=2 d=1.92774 t=7524
wang zhe 	王者	c=0 d=0.1 t=808
wang zhe rong yao 	王者榮耀	c=2 d=1.2739 t=1068
wei 	爲	c=4 d=0.270326 t=7722
wei da 	偉大	c=0 d=0.1 t=2120
wei da wei 	偉大爲	c=1 d=1 t=2121
wei hu 	維護	c=3 d=1 t=8387
wei lai 	未來	c=1 d=1 t=5721
wei le 	爲了	c=3 d=1.00003 t=5416
wei ruan 	微軟	c=1 d=1 t=2221
wei sha 	爲啥	c=8 d=1.00382 t=7243
wei shen me 	爲什麼	c=2 d=1.00015 t=3281
wei xin 	微信	c=12 d=2.92795 t=5305
wei xin qun 	微信羣	c=1 d=1 t=4829
wei yi 	唯一	c=1 d=1 t=6750
wei zhi 	未知	c=1 d=1 t=5397
wei zhun 	爲準	c=1 d=1 t=7900
wen 	問	c=2 d=1.14442 t=8456
wen 	文	c=1 d=1 t=4677
wen dang 	文檔	c=14 d=0.467347 t=8531
wen guo 	問過	c=1 d=1 t=6672
wen jia 	文嘉	c=2 d=1 t=7581
wen jian 	文件	c=23 d=1.94259 t=8443
wen ti 	問題	c=41 d=1.00304 t=8531
wen wen 	問問	c=1 d=1 t=1440
wen xia 	問下	c=4 d=1.956 t=7556
wen zi 	文字	c=1 d=1 t=3848
wo 	我	c=224 d=10.2551 t=8510
wo bu shi 	我不是	c=1 d=1 t=872
wo ca 	我擦	c=1 d=1 t=7473
wo cao 	喔草	c=1 d=1 t=777
wo cao 	握草	c=6 d=1.04702 t=6980
wo dong le 	我懂了	c=1 d=1 t=560
wo dui 	我對	c=1 d=1 t=7682
wo hai shi 	我還是	c=2 d=1.44264 t=3618
wo ji de 	我記得	c=1 d=1 t=3120
wo jue 	我覺	c=1 d=1 t=7715
wo men 	我們	c=4 d=1.00001 t=5463
wo ri 	我日	c=3 d=1.00399 t=8107
wo shao deng 	我稍等	c=1 d=1 t=4270
wo shi 	我是	c=3 d=1 t=8135
wo shi 	我試	c=0 d=0.1 t=4306
wo shi shi 	我試試	c=1 d=1 t=4307
wu 	五	c=1 d=1 t=2089
wu 	吳	c=1 d=1 t=4676
wu 	無	c=5 d=1.18661 t=6938
wu bi 	五筆	c=1 d=0.900325 t=8531
wu fa 	無法	c=7 d=1.02033 t=7791
wu guan 	無關	c=1 d=1 t=532
wu ji 	無極	c=1 d=1 t=3833
wu li 	物理	c=3 d=1 t=5336
wu qing 	無情	c=4 d=1 t=6369
xi 	戲	c=1 d=1 t=5704
xi ai 	喜愛	c=2 d=1.00002 t=4492
xi bao 	細胞	c=1 d=1 t=6381
xi fu 	媳婦	c=1 d=1 t=4285
xi tong 	系統	c=14 d=1.6639 t=8049
xi wang 	希望	c=1 d=1 t=3689
xi yin 	吸引	c=2 d=0.612626 t=8531
xia 	下	c=45 d=2.46405 t=8413
xia ban 	下班	c=1 d=1 t=7872
xia bu liao 	下不了	c=2 d=1.956 t=2162
xia ci 	下次	c=1 d=1 t=6848
xia dan 	下單	c=5 d=2.43418 t=2144
xia jia 	下架	c=1 d=1 t=6612
xia jian 	下賤	c=1 d=1 t=5074
xia lai 	下來	c=3 d=0.980356 t=8531
xia lao zi yi tiao 	下老子一條	c=1 d=1 t=7632
xia qi 	下期	c=1 d=1 t=5312
xia qu 	下去	c=0 d=0.0585669 t=8531
xia shuo 	瞎說	c=1 d=1 t=8484
xia wu 	下午	c=4 d=0.758779 t=8531
xia zai 	下載	c=2 d=1 t=8426
xian 	先	c=8 d=1.00355 t=7967
xian 	顯	c=0 d=0.1 t=5487
xian cheng 	線程	c=1 d=1 t=8520
xian er yi jian 	顯而易見	c=1 d=1 t=8001
xian he 	先和	c=1 d=1 t=4154
xian jiao 	先交	c=1 d=1 t=5893
xian jin 	現金	c=14 d=2.72599 t=5437
xian qi 	嫌棄	c=3 d=2.90737 t=3298
xian shi 	現實	c=0 d=0.1 t=3240
xian shi 	顯示	c=3 d=1 t=6953
xian shi dian 	現實點	c=1 d=1 t=3241
xian zai 	先在	c=1 d=1 t=5052
xian zai 	現在	c=25 d=0.500411 t=8531
xian zhi 	限制	c=4 d=1 t=5645
xian zi 	仙子	c=0 d=0.0188247 t=8531
xian zi a 	仙子啊	c=1 d=0.189191 t=8531
xiang 	像	c=2 d=1 t=6877
xiang 	向	c=1 d=1 t=1278
xiang 	想	c=14 d=1.01007 t=7082
xiang 	翔	c=1 d=1 t=3239
xiang 	香	c=2 d=1 t=8144
xiang fa 	想法	c=2 d=1.18087 t=8081
xiang guan 	相關	c=2 d=1.05151 t=8410
xiang guan de 	相關的	c=1 d=1 t=7599
xiang hu 	相互	c=1 d=1 t=3334
xiang kai 	想開	c=1 d=1 t=3416
xiang kao 	想考	c=1 d=1 t=5951
xiang mu 	項目	c=11 d=1.04016 t=5012
xiang mu zu 	項目組	c=2 d=1.00001 t=7583
xiang qing 	詳情	c=2 d=1.00176 t=3056
xiang qu 	想去	c=1 d=1 t=7941
xiang sha 	想啥	c=1 d=1 t=2558
xiang tong 	相同	c=1 d=1 t=5260
xiang yao 	想要	c=2 d=1 t=7028
xiang ying 	相應	c=2 d=1.97531 t=4115
xiang ying 	響應	c=2 d=0.1 t=7860
xiang ying ma 	響應碼	c=1 d=1 t=7861
xiang yong 	享用	c=1 d=1 t=1028
xiang zen me 	想怎麼	c=1 d=1 t=1111
xiao 	小	c=0 d=0.100003 t=8263
xiao 	曉	c=1 d=1 t=8494
xiao bai 	小白	c=1 d=0.261846 t=8531
xiao chu 	小處	c=0 d=0.1 t=3409
xiao chu nan 	小處男	c=1 d=1 t=3410
xiao fang jian 	小房間	c=1 d=1 t=7918
xiao fei zhe 	消費者	c=1 d=1 t=7450
xiao gu 	小股	c=1 d=1 t=5636
xiao hai 	小孩	c=1 d=1 t=8404
xiao hao 	消耗	c=1 d=0.771052 t=8531
xiao jie 	消解	c=1 d=0.67032 t=8531
xiao lang hao 	小狼毫	c=2 d=1.09811 t=8531
xiao mi 	小米	c=4 d=1.95876 t=3809
xiao peng you 	小朋友	c=1 d=1 t=5901
xiao shi 	小時	c=1 d=0.481909 t=8531
xiao shou 	銷售	c=11 d=3.49675 t=6963
xiao shou jie suan dan 	銷售結算單	c=1 d=1 t=1995
xiao wang ba 	小網吧	c=1 d=1 t=6164
xiao wen ti 	小問題	c=1 d=1 t=8264
xiao xi 	消息	c=1 d=1 t=2707
xiao zi 	小子	c=1 d=1 t=7912
xie 	些	c=1 d=1 t=681
xie 	寫	c=15 d=1.15111 t=6476
xie cheng 	寫成	c=1 d=1 t=899
xie dao 	寫到	c=0 d=0.1 t=4887
xie de 	寫的	c=1 d=1 t=720
xie ge 	寫個	c=2 d=1.44043 t=704
xie le 	寫了	c=1 d=1 t=1685
xie le 	謝了	c=3 d=1.00177 t=4140
xie ru 	寫入	c=2 d=1 t=7703
xie wan 	寫完	c=1 d=1 t=892
xie xia 	寫下	c=1 d=1 t=4229
xie xie 	謝謝	c=3 d=1.03405 t=5532
xie zai 	卸載	c=1 d=1 t=5904
xie zai 	寫在	c=2 d=1.51171 t=4089
xie zhu 	協助	c=4 d=1.0004 t=4284
xie zuo 	協作	c=1 d=1 t=8435
xin 	信	c=2 d=1.00681 t=3185
xin 	心	c=3 d=1.76502 t=8531
xin de 	新的	c=2 d=1 t=6320
xin jian 	新建	c=4 d=1.00049 t=5325
xin lai de 	新來的	c=1 d=1 t=677
xin li 	心裏	c=1 d=1 t=3385
xin wen 	新聞	c=1 d=1 t=6412
xin xi 	信息	c=8 d=1.21737 t=6943
xin xian 	新鮮	c=1 d=1 t=5567
xin yi 	新意	c=1 d=1 t=3302
xin yong 	信用	c=1 d=1 t=5723
xin zeng 	新增	c=1 d=1 t=5536
xing 	行	c=9 d=1.00034 t=8162
xing bing 	性病	c=1 d=1 t=3133
xing cheng 	形成	c=1 d=0.310367 t=8531
xing le 	行了	c=2 d=1 t=8305
xing li xiang 	行李箱	c=1 d=1 t=7421
xing wei 	行爲	c=1 d=1 t=1888
xiu 	修	c=1 d=1 t=879
xiu fu 	修復	c=18 d=1.64573 t=5550
xiu gai 	修改	c=5 d=1.06446 t=8024
xiu jia 	休假	c=1 d=1 t=1497
xiu xi 	休息	c=3 d=1.17547 t=8531
xu ni 	虛擬	c=7 d=1.24908 t=7863
xu ni ji 	虛擬機	c=2 d=1.05156 t=8346
xu qian 	續簽	c=1 d=1 t=6531
xu qiu 	需求	c=5 d=1.00053 t=6673
xu qiu wen dang 	需求文檔	c=1 d=1 t=2374
xu yao 	需要	c=23 d=1.05676 t=7165
xuan 	選	c=1 d=1 t=3530
xuan ze 	選擇	c=1 d=0.960789 t=8531
xue 	血	c=1 d=1 t=2141
xue 	雪	c=2 d=1 t=7190
xue dao 	學到	c=0 d=0.1 t=2433
xue dao le 	學到了	c=1 d=1 t=2434
xue fei 	學費	c=1 d=1 t=5894
xue hong 	血紅	c=2 d=1.97531 t=6385
xue hui 	學會	c=0 d=0.0222017 t=8531
xue hui le 	學會了	c=1 d=0.22313 t=8531
xue nve 	血虐	c=1 d=1 t=5900
xue xi 	學習	c=8 d=3.35689 t=8531
xue xi le 	學習了	c=1 d=0.268474 t=8531
y 	<(=～￣▽￣)～	c=2 d=1.03633 t=1371
y shi 	<(=～￣▽￣)～是	c=1 d=1 t=1286
ya 	呀	c=18 d=1.03659 t=8531
ya ce 	呀測	c=1 d=1 t=7492
ya gen 	壓根	c=3 d=1.69228 t=3506
ya li 	壓力	c=1 d=1 t=1878
yan 	眼	c=2 d=1 t=8517
yan 	驗	c=1 d=1 t=8175
yan jing 	眼睛	c=2 d=1.99501 t=7127
yan jiu 	研究	c=2 d=0.213747 t=8531
yan jiu yi xian ai 	研究胰腺癌	c=1 d=0.179066 t=8531
yan shou 	驗收	c=1 d=1 t=4811
yan zheng 	驗證	c=8 d=1.35211 t=7984
yan zheng ma 	驗證碼	c=6 d=1.94176 t=5379
yang 	樣	c=1 d=1.00019 t=8470
yang lao 	養老	c=1 d=1 t=6395
yao 	要	c=44 d=1.56662 t=8531
yao bei 	要被	c=1 d=1 t=3210
yao bu yao 	要不要	c=3 d=1.00001 t=6530
yao qiu 	要求	c=1 d=1 t=1089
yao qu 	要去	c=1 d=1 t=7504
yao shi 	要是	c=2 d=1.81058 t=3205
yao wan 	藥丸	c=2 d=0.591555 t=8531
yao yong 	要用	c=2 d=1.15803 t=1104
yao zhui 	腰椎	c=0 d=0.1 t=6374
yao zhui pan 	腰椎盤	c=1 d=1 t=6375
ye 	也	c=31 d=1.09964 t=8531
ye 	耶	c=6 d=1.6171 t=7565
ye 	葉	c=1 d=1 t=3609
ye 	頁	c=0 d=0.1 t=3079
ye bu neng 	也不能	c=1 d=0.117068 t=8531
ye bu shi 	也不是	c=1 d=1 t=5732
ye bu zhi dao 	也不知道	c=1 d=1 t=2369
ye jiu shi 	也就是	c=1 d=1 t=4531
ye ke neng 	也可能	c=1 d=1 t=1555
ye ke yi 	也可以	c=1 d=1 t=6340
ye mian 	頁面	c=1 d=1 t=1846
ye shi 	也是	c=13 d=0.86383 t=8531
ye shuo 	也說	c=1 d=1 t=7674
ye xing 	也行	c=2 d=1 t=7562
ye xu 	也許	c=2 d=1 t=6108
ye yao 	也要	c=2 d=1 t=8208
ye you 	也有	c=1 d=0.173774 t=8531
ye zi 	葉子	c=6 d=1.00017 t=7619
yi 	一	c=1 d=1 t=473
yi 	以	c=2 d=1.00291 t=7898
yi 	已	c=11 d=1.71192 t=7527
yi ba 	一把	c=2 d=0.247833 t=8531
yi ban 	一版	c=2 d=1.08781 t=5526
yi ban 	一般	c=3 d=1.33125 t=2531
yi bao 	易寶	c=2 d=1.00001 t=2890
yi bian 	一遍	c=1 d=1 t=4331
yi bo 	一波	c=3 d=1 t=6348
yi bu 	異步	c=2 d=1.00078 t=2666
yi bu fen 	一部分	c=1 d=1 t=4382
yi chang 	異常	c=5 d=2.09669 t=6934
yi chu qu 	一出去	c=1 d=1 t=2173
yi ci 	一次	c=2 d=0.100564 t=3995
yi cu er jiu 	一蹴而就	c=1 d=1 t=1164
yi dao 	一刀	c=0 d=0.1 t=7930
yi dao dao 	一刀刀	c=1 d=1 t=7931
yi dian 	一點	c=2 d=1.00017 t=3453
yi ding 	一定	c=2 d=1.15803 t=1103
yi fa 	一發	c=0 d=0.1 t=7626
yi fan 	一番	c=1 d=0.107528 t=8531
yi fu 	衣服	c=1 d=1 t=864
yi gai 	一改	c=1 d=1 t=3000
yi ge 	一個	c=17 d=0.637737 t=8531
yi ge ge 	一個個	c=1 d=1 t=4215
yi ge yi ge fen zhi 	一個一個分支	c=1 d=1 t=4219
yi gong 	一共	c=1 d=0.472367 t=8531
yi hou 	以後	c=10 d=0.834818 t=8531
yi hui er 	一會兒	c=1 d=0.26982 t=8531
yi ji 	以及	c=2 d=1.90032 t=7335
yi jian 	意見	c=1 d=1 t=2663
yi jing 	已經	c=19 d=3.67582 t=7414
yi ke 	一刻	c=1 d=1 t=8476
yi kuan 	一款	c=1 d=1 t=3856
yi lang 	伊朗	c=1 d=1 t=7349
yi liang 	一兩	c=1 d=1 t=7171
yi lie 	一列	c=1 d=1 t=6795
yi liu 	遺留	c=1 d=1 t=5298
yi lou 	遺漏	c=1 d=1 t=4165
yi nian 	一年	c=1 d=1 t=8016
yi pi 	一批	c=2 d=1.36604 t=6143
yi qi 	一起	c=3 d=1 t=7671
yi qian 	以前	c=6 d=0.852144 t=8531
yi qie 	一切	c=2 d=1 t=7130
yi shang 	以上	c=1 d=1 t=4542
yi shou 	一首	c=1 d=1 t=6241
yi shuo 	一說	c=1 d=1 t=7953
yi si 	意思	c=2 d=1 t=7158
yi tai 	一臺	c=3 d=1.06604 t=7185
yi tian 	一天	c=3 d=1.00209 t=8341
yi tiao 	一條	c=2 d=0.128034 t=7631
yi wei 	以爲	c=2 d=1 t=5492
yi xia 	一下	c=20 d=1.38891 t=8531
yi xian ai 	胰腺癌	c=1 d=0.0178173 t=8531
yi xiang 	一項	c=0 d=0.1 t=3341
yi xiang zhi huan 	一項置換	c=1 d=1 t=3342
yi xie 	一些	c=6 d=0.649428 t=8531
yi xue 	一血	c=1 d=1 t=3533
yi yang 	一樣	c=10 d=1.14669 t=8173
yi zhang 	一張	c=0 d=0.1 t=6762
yi zhang biao 	一張表	c=1 d=1 t=6763
yi zhi 	一直	c=4 d=0.495356 t=8531
yi zhong 	一種	c=2 d=0.311923 t=8531
yin 	因	c=1 d=1 t=1703
yin 	音	c=2 d=0.918512 t=8531
yin ci 	因此	c=1 d=1 t=1890
yin wei 	因爲	c=17 d=0.715338 t=8531
yin yin 	隱隱	c=1 d=1 t=1232
yin yong 	引用	c=3 d=1.82696 t=7825
ying 	應	c=0 d=0.0909373 t=8531
ying 	瑩	c=1 d=1 t=6863
ying 	贏	c=1 d=1 t=1067
ying gai 	應該	c=27 d=0.697676 t=8531
ying jie 	英傑	c=2 d=1.92774 t=2148
ying le 	贏了	c=1 d=0.10003 t=3117
ying le you xi 	贏了遊戲	c=1 d=1 t=3118
ying xiang 	影響	c=4 d=0.249989 t=5340
ying yu 	英語	c=1 d=1 t=7084
yong 	用	c=33 d=1.18422 t=8531
yong dao 	用到	c=1 d=1 t=6302
yong de 	用的	c=2 d=1.00058 t=2213
yong fa 	用法	c=1 d=1 t=4278
yong hu 	用戶	c=9 d=1.04463 t=8013
yong jiu 	永久	c=1 d=1 t=8227
yong le 	用了	c=1 d=1 t=649
yong qing 	用情	c=0 d=0.1 t=3552
yong qing hen shen 	用情很深	c=1 d=1 t=3553
yong wan 	用完	c=1 d=1 t=3123
you 	又	c=10 d=0.648562 t=8531
you 	有	c=51 d=2.58046 t=8531
you bu shi 	又不是	c=1 d=1 t=7763
you bu xing 	有不行	c=2 d=1.97531 t=2340
you che 	有車	c=0 d=0.1 t=3246
you ci 	由此	c=1 d=1 t=6594
you dai 	有待	c=1 d=1 t=6925
you dao yun 	有道雲	c=1 d=1 t=2208
you de 	有的	c=3 d=1.0367 t=7958
you dian 	優點	c=7 d=0.190031 t=8531
you dian 	有點	c=6 d=0.174645 t=8531
you fang 	有房	c=0 d=0.1 t=3246
you fang you che 	有房有車	c=2 d=1 t=5982
you ge 	有個	c=6 d=0.786628 t=8531
you ge wei nan ti 	又各位難題	c=1 d=0.782705 t=8531
you guan 	有關	c=4 d=1.00171 t=7783
you he 	有何	c=1 d=1 t=5672
you hua 	優化	c=1 d=1 t=1198
you hui 	優惠	c=6 d=1 t=7426
you hui quan 	優惠券	c=2 d=1.38868 t=7870
you jian 	郵件	c=5 d=1.75086 t=1918
you ke neng 	有可能	c=1 d=1 t=4003
you le 	有了	c=1 d=1 t=6034
you mei you 	有沒有	c=7 d=1.0742 t=8075
you qian 	有錢	c=1 d=1 t=5775
you que dian 	優缺點	c=1 d=1 t=1127
you ren 	有人	c=2 d=0.777548 t=2194
you ru he 	又如何	c=1 d=1 t=3119
you sha 	有啥	c=1 d=1 t=6070
you shen me 	有什麼	c=2 d=1.9802 t=1002
you shi 	又是	c=1 d=1 t=2159
you shi 	有時	c=1 d=1 t=2247
you shi jian 	有時間	c=2 d=1 t=5319
you shi le 	又試了	c=1 d=1 t=2233
you shi yi lai 	有史以來	c=2 d=1.90937 t=1843
you shuo 	又說	c=1 d=1 t=7448
you tian wei 	有甜味	c=1 d=1 t=7446
you wen ti 	有問題	c=6 d=1.00128 t=8153
you wu 	有無	c=1 d=1 t=6854
you xi 	遊戲	c=4 d=1 t=6068
you xiang 	郵箱	c=2 d=1.00015 t=3117
you xie 	有些	c=3 d=0.110251 t=8531
you xiu 	優秀	c=1 d=1 t=3589
you ya 	優雅	c=1 d=1 t=3736
you yi 	有一	c=0 d=0.1 t=4376
you yi bu fen 	有一部分	c=1 d=1 t=4377
you yong 	游泳	c=1 d=1 t=5961
you you 	又有	c=1 d=1 t=5566
you yu 	由於	c=1 d=1 t=1833
you zhe 	有着	c=1 d=1 t=6497
you zhe ge 	有這個	c=1 d=1 t=6354
you zhu yu 	有助於	c=1 d=0.329559 t=8531
yu 	於	c=0 d=0.0341298 t=8531
yu 	預	c=0 d=0.1 t=1350
yu dao 	遇到	c=2 d=0.182684 t=8531
yu ding 	預訂	c=1 d=1 t=7665
yu fa bu 	預發佈	c=12 d=2.10711 t=8297
yu ming 	域名	c=1 d=1 t=7591
yu o 	於哦	c=1 d=1 t=6552
yu qi 	預期	c=1 d=1 t=1899
yu xian 	預先	c=1 d=1 t=7789
yuan 	源	c=1 d=0.1 t=7205
yuan cheng 	遠程	c=4 d=1.03112 t=7875
yuan dan 	元旦	c=1 d=1 t=2561
yuan ge shi 	源格式	c=1 d=1 t=7206
yuan jing 	遠景	c=0 d=0.1 t=2387
yuan jing lu 	遠景路	c=1 d=1 t=2388
yuan lai 	原來	c=4 d=1 t=7607
yuan li 	原理	c=0 d=0.1 t=557
yuan wen jian 	源文件	c=2 d=1.80654 t=657
yuan yi 	願意	c=1 d=1 t=2828
yuan yin 	原因	c=9 d=2.18002 t=6947
yue fen 	月份	c=2 d=1.99501 t=2032
yue lai yue 	越來越	c=0 d=0.1 t=711
yue lai yue qiang 	越來越強	c=1 d=1 t=712
yue li 	樂理	c=1 d=0.272532 t=8531
yue shu 	約束	c=0 d=0.1 t=1104
yun 	雲	c=10 d=2.86202 t=8280
yun dun 	雲盾	c=1 d=1 t=1907
yun fei 	運費	c=10 d=3.97914 t=2098
yun xu 	允許	c=0 d=0.1 t=3615
za 	咋	c=2 d=1.00081 t=8406
za hui shi 	咋回事	c=1 d=1 t=3273
zai 	再	c=11 d=2.09611 t=6269
zai 	在	c=58 d=1.33831 t=8531
zai he 	再合	c=1 d=1 t=4207
zai jia 	在家	c=1 d=1 t=2241
zai kan 	再看	c=1 d=1 t=4100
zai kan le 	再看了	c=1 d=1 t=5707
zai lai 	再來	c=1 d=1 t=1036
zai na 	在哪	c=1 d=1 t=8098
zai qi ta 	在其他	c=1 d=1 t=7412
zai yi qi 	在一起	c=1 d=1 t=3434
zai yong 	在用	c=1 d=1 t=4953
zan 	暫	c=2 d=1 t=5242
zan qie 	暫且	c=1 d=1 t=2527
zan shi 	暫時	c=3 d=1 t=4426
zang 	髒	c=0 d=0.1 t=6619
zang eng 	髒嗯	c=1 d=1 t=7600
zang shu ju 	髒數據	c=3 d=1.95131 t=6856
zao 	早	c=1 d=1 t=8466
zao 	竈	c=2 d=1.00003 t=8463
zao 	造	c=1 d=1 t=1652
zao can 	早餐	c=1 d=1 t=2922
zao cheng 	造成	c=4 d=1 t=7356
zao cheng le 	造成了	c=1 d=1 t=1875
zao jiu 	早就	c=2 d=1.99005 t=6033
zao shang 	早上	c=0 d=0.1 t=3164
zao shang le 	早上了	c=1 d=1 t=3165
